"url","hammer_price","sold","auction_date","title","distillery","region","strength","distillery_status","cask_type","currency","bulk_litres","rla","filling_date","cask_filling","previous_spirit","regauged_date","age","bottles_at_cask_strength","hammer_price_per_bottle_at_cask_strength","hammer_price_per_litre_of_alcohol","buyer_price","buyer_price_per_bottle_at_cask_strength","buyer_price_per_litre_of_alcohol","country","auction_house"
"https://whiskyauctioneer.com/lot/299853/1-bruichladdich-2010-fresh-bourbon-barrel-2027-cask-storage-bruichladdich",13000,TRUE,"2020-11-09","Bruichladdich 2010 Fresh Bourbon Barrel","Bruichladdich","Islay","61.1","Operational","Barrel","Great Britain Pound (£)","172","105.09","2010-09-06","First Fill","Bourbon","2020-03-01",10,245.71,"52.91","123.7","14625","59.52","139.17","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/302008/1-bruichladdich-2010-fresh-bourbon-barrel-2033-cask-storage-bruichladdich",12500,TRUE,"2020-11-09","Bruichladdich 2010 Fresh Bourbon Barrel","Bruichladdich","Islay","60.5","Operational","Barrel","Great Britain Pound (£)","164","99.22","2010-09-06","First Fill","Bourbon","2020-10-01",10,234.29,"53.35","125.98","14062.5","60.02","141.73","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/302013/1-royal-brackla-2007-hogshead-305002-cask-storage-whiskybroker",4900,FALSE,"2020-11-09","Royal Brackla 2007 Hogshead","Royal Brackla","Highlands","61.2","Operational","Hogshead","Great Britain Pound (£)","182.25","111.54","2007-01-01",NA,NA,"2020-10-19",13,260.36,"18.82","43.93","5512.5","21.17","49.42","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/290805/1-north-british-2007-bourbon-hogshead-315687-cask-storage-whiskybroker",2700,TRUE,"2020-10-05","North British 2007 Bourbon Hogshead","North British","Lowlands","59.9","Operational","Hogshead","Great Britain Pound (£)","205.32","122.99","2007-01-01",NA,"Bourbon","19-01-01",13,293.31,"9.21","21.95","3037.5","10.36","24.7","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/294703/1-bruichladdich-2010-fresh-bourbon-barrel-2042-cask-storage-bruichladdich",11001,TRUE,"2020-10-05","Bruichladdich 2010 Fresh Bourbon Barrel","Bruichladdich","Islay","62.9","Operational","Barrel","Great Britain Pound (£)","174","109.45","2010-09-06","First Fill","Bourbon",NA,10,248.57,"44.26","100.51","12376.12","49.79","113.08","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/286522/1-north-british-2007-bourbon-hogshead-315686-cask-storage-whiskybroker",5050,TRUE,"2020-09-07","North British 2007 Bourbon Hogshead","North British","Lowlands","61.8","Operational","Hogshead","Great Britain Pound (£)","209.49","129.46","2007-01-01",NA,"Bourbon","20-01-01",13,299.27,"16.87","39.01","5681.25","18.98","43.88","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/276854/1-glenrothes-2009-px-sherry-hogshead-4156-cask-storage-whiskybroker",8400,TRUE,"2020-08-03","Glenrothes 2009 PX Sherry Hogshead","Glenrothes","Speyside","64.8","Operational","Hogshead","Great Britain Pound (£)","213.72","138.49","2009-05-13",NA,"Sherry","2020-05-21",11,305.31,"27.51","60.65","9450","30.95","68.24","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/276856/1-springbank-1991-first-fill-oloroso-sherry-cask-411-cask-storage-whiskybroker",50600,FALSE,"2020-08-03","Springbank 199First Fill Oloroso Sherry Cask","Springbank","Campbeltown","50.2","Operational",NA,"Great Britain Pound (£)","115","57.73","1991-01-01","First Fill","Sherry","2020-03-18",29,164.29,"307.99","876.49","56925","346.49","986.06","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/271164/1-north-british-2006-bourbon-barrel-818381-cask-storage-whiskybroker",3500,TRUE,"2020-07-06","North British 2006 Bourbon Barrel","North British","Lowlands","61.5","Operational","Barrel","Great Britain Pound (£)","117.43","72.22","2006-12-28",NA,"Bourbon","2020-06-05",13,167.76,"20.86","48.46","3937.5","23.47","54.52","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/271165/1-port-dundas-2009-bourbon-hogshead-756131-cask-storage-whiskybroker",5000,TRUE,"2020-07-06","Port Dundas 2009 Bourbon Hogshead","Port Dundas","Lowlands","64.2","Closed","Hogshead","Great Britain Pound (£)","223.31","143.37","2009-01-01",NA,"Bourbon","2020-06-05",11,319.01,"15.67","34.87","5625","17.63","39.23","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/260502/1-bruichladdich-2011-fresh-bourbon-barrel-3240-cask-storage-bruichladdich",8200,TRUE,"2020-06-01","Bruichladdich 201Fresh Bourbon Barrel","Bruichladdich","Islay","63.7","Operational","Barrel","Great Britain Pound (£)","173","110.2","2011-09-21","First Fill","Bourbon","2020-03-02",8,247.14,"33.18","74.41","9225","37.33","83.71","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/259497/1-bruichladdich-2003-fresh-bourbon-barrel-252-cask-storage-whiskybroker",8000,TRUE,"2020-04-06","Bruichladdich 2003 Fresh Bourbon Barrel","Bruichladdich","Islay","59.3","Operational","Barrel","Great Britain Pound (£)","109","64.64","2003-05-30","First Fill","Bourbon","2020-02-26",16,155.71,"51.38","123.76","9000","57.8","139.23","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/251162/1-glentauchers-2009-bourbon-barrel-700239-cask-held-bond-hah-whisky",4100,TRUE,"2020-03-11","Glentauchers 2009 Bourbon Barrel","Glentauchers","Speyside","59.9","Operational","Barrel","Great Britain Pound (£)","159","95.24","2009-01-01",NA,"Bourbon","2020-02-01",11,227.14,"18.05","43.05","4612.5","20.31","48.43","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/251163/1-glentauchers-2009-bourbon-barrel-700240-cask-held-bond-hah-whisky",3600,TRUE,"2020-03-11","Glentauchers 2009 Bourbon Barrel","Glentauchers","Speyside","60.8","Operational","Barrel","Great Britain Pound (£)","318","193.34","2009-01-01",NA,"Bourbon","2020-02-01",11,454.29,"7.92","18.62","4050","8.92","20.95","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/252546/1-port-dundas-2009-hogshead-756119-cask-storage-whiskybroker",4450,TRUE,"2020-03-11","Port Dundas 2009 Hogshead","Port Dundas","Lowlands","65.5","Closed","Hogshead","Great Britain Pound (£)","211.5","138.53","2009-01-01",NA,"Port","2019-11-01",11,302.14,"14.73","32.12","5006.25","16.57","36.14","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/253215/1-bruichladdich-2006-fresh-bourbon-barrel-1246-cask-storage-bruichladdich",11000,TRUE,"2020-03-11","Bruichladdich 2006 Fresh Bourbon Barrel","Bruichladdich","Islay","63.1","Operational","Barrel","Great Britain Pound (£)","161","101.59","2006-07-12","First Fill","Bourbon","2019-11-01",13,230,"47.83","108.28","12375","53.8","121.81","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/253252/1-lindores-abbey-2020-ex-australian-muscat-hogshead-300-litre-bushfire-appeal-charity",5400,NA,"2020-03-11","Lindores Abbey 2020 ex-Australian Muscat Hogshead 300 Litre","Lindores Abbey","Lowlands",NA,"Operational","Hogshead","Great Britain Pound (£)","300",NA,NA,NA,"Wine",NA,NA,428.57,"12.6",NA,"6075","14.18",NA,"Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/246047/1-bruichladdich-%E2%80%8B2008-rivesaltes-hogshead-11-year-old-1758-cask-storage-bruichladdich",12000,TRUE,"2020-02-03","Bruichladdich ​2008 Rivesaltes Hogshead 1Year Old","Bruichladdich","Islay","62.1","Operational","Hogshead","Great Britain Pound (£)","194","120.47","2008-07-18",NA,"Wine","2019-12-01",11,277.14,"43.3","99.61","13500","48.71","112.06","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/246411/1-bruichladdich-2006-fresh-bourbon-barrel-1246-cask-storage-bruichladdich",10500,FALSE,"2020-02-03","Bruichladdich 2006 Fresh Bourbon Barrel","Bruichladdich","Islay","63.1","Operational","Barrel","Great Britain Pound (£)","161","101.59","2006-07-12","First Fill","Bourbon","2019-11-01",13,230,"45.65","103.36","11812.5","51.36","116.28","Scotland","WhiskyAuctioneer"
